"Product (20)","Description","Primary Vendor Name","Product Line Description","Web Category Description","Primary Vendor","Product Line Code","Web Category","Major Group Code","Major Group Description","Price Group Code","Price Group Description","UPC","Image File","Image Path","Image URL","Status","Available","Units of Measure"
"GG40S10BXR","GE RealMAX Premium 40-Gallon  Short Natural Gas Atmospheric ","GE Appliances, a Haier Company","GE Water Heater Uncommon","","01796","0231","","015","GE Appliance ","","","84691862963","","https://ysps.shop/media/products/images/GG40S10BXR.jpg","https://ysps.shop/media/products/images/GG40S10BXR.jpg","N","0","EA"
"VALMP05","1/2"" Male x Pex Ball Valve                                  ","EVERFLOW SUPPLIES INC","SPECIAL VALVES","","00283","0203","","011","Valves","","","","","","","","80","EA"
"CT1507","1-1/2"" x 1-1/2"" x 3/4"" Copper Reducing Tee                  ","EVERFLOW SUPPLIES INC","COPPER FITTINGS R","","00283","0107","","01","Copper Fittings","","","8.04595E+11","","https://ysps.shop/media/products/images/CT050507.jpg","https://ysps.shop/media/products/images/CT050507.jpg","","2069","EA"
"CC2010","2"" x 1"" Copper Reducing       Coupling                      ","EVERFLOW SUPPLIES INC","COPPER FITTINGS R","","00283","0107","","01","Copper Fittings","","","","","https://ysps.shop/media/products/images/CC2005-0.jpg","https://ysps.shop/media/products/images/CC2005-0.jpg","","50","EA"
"VALMP07","3/4"" Male x Pex Ball Valve                                  ","EVERFLOW SUPPLIES INC","SPECIAL VALVES","","00283","0203","","011","Valves","","","","","","","","43","EA"
"BZ583","5/8""-11 x 3"" Hex Tap Bolt     Grade A Zinc                  ","Fasteners Depot LLC","Fasteners and Screws","","00293","0118","","09","Fasteners","","","80459516084","","https://ysps.shop/media/products/images/BZ121.jpg","https://ysps.shop/media/products/images/BZ121.jpg","","345","EA"
"3PLUG","3 Outlet Grounded Wall Adapter- Beige                       ","","SPECIALTYS","","","0003","","","","","","","","","","N","0","EA"
"CC2012","2"" x 1-1/4"" Copper Reducing   Coupling                      ","EVERFLOW SUPPLIES INC","COPPER FITTINGS R","","00283","0107","","01","Copper Fittings","","","8.04595E+11","","https://ysps.shop/media/products/images/CC05.jpg","https://ysps.shop/media/products/images/CC05.jpg","","41","EA"
"SP30MG","Fine Fixures SHIREPLACE VANITY30"" WIDE - MINT GREEN         ","FINE FIXTURE","FINE FIXTURES","","00296","0143","","","","","","","","","","N","0","EA"
"CT1510","1-1/2"" x 1-1/2"" x 1"" Copper   Reducing Tee                  ","EVERFLOW SUPPLIES INC","COPPER FITTINGS R","","00283","0107","","01","Copper Fittings","","","8.04595E+11","","https://ysps.shop/media/products/images/CT050507.jpg","https://ysps.shop/media/products/images/CT050507.jpg","","219","EA"
"PPSC60","6"" Polypropylene SW Support   Clamp IASCM06                 ","Centrotherm Eco Systems LLC","polypropylene fittings","","01311","0135","","","","","","815010016176","H0010343.png","\\192.168.1.66\IMAGES/H0010343.png","","","10","EA"
"BZ586","5/8""-11 x 6"" Hex Tap Bolt     Grade A Zinc                  ","Fasteners Depot LLC","Fasteners and Screws","","00293","0118","","09","Fasteners","","","","","https://ysps.shop/media/products/images/BZ121.jpg","https://ysps.shop/media/products/images/BZ121.jpg","","46","EA"
"VALMP10","1"" Male x Pex Ball Valve                                    ","","SPECIAL VALVES","","","0203","","011","Valves","","","","","","","","0","EA"
